Owner,Collection City,Collection City Geocoordinates,Binder,Number,Composer,Nationality,Title,Opera,Pub. City,Pub. State,Pub. Country,Pub. Coordinates,Publisher,Date,Publication decade,Subject,Has t.p.?,Illustration?
Ann Kate Gardner,Baltimore,"39.2903800, -76.6121900",LOC M1 .A15 v.111,38,"Tepe, Frank A.",,Font Hill polka,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",Henry McCaffrey,1853,1850,Piano music,0,0
Ann Kate Gardner,Baltimore,"39.2903800, -76.6121900",LOC M1 .A15 v.111,39,"Balleyguier, Delphin",French,Flirt polka,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",F.D. Benteen,,1850,Piano music,0,0
Ann Kate Gardner,Baltimore,"39.2903800, -76.6121900",LOC M1 .A15 v.111,40,"Leonard, Anson",,Exotic waltz,,New York,New York,United States,"40.7142700, -74.0059700","Firth, Pond & Co.",,1850,Piano music,1,0
Ann Kate Gardner,Baltimore,"39.2903800, -76.6121900",LOC M1 .A15 v.111,41,"O'Meara, Daniel A.",,Celebrated one finger'd sliding waltz,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",F.D. Benteen,,1850,Piano music,0,0
Ann Kate Gardner,Baltimore,"39.2903800, -76.6121900",LOC M1 .A15 v.111,42,"Hewitt, Horatio D.",American,Kate's waltz,,New Orleans,Louisiana,United States,"29.9546500, -90.0750700",Horatio D. Hewitt,,1850,Piano music,0,0
Ann Kate Gardner,Baltimore,"39.2903800, -76.6121900",LOC M1 .A15 v.111,43,"Herz, Henri",Austrian,Empress Henrietta's waltz,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",Henry McCaffrey,,1850,Piano music,0,0
Ann Kate Gardner,Baltimore,"39.2903800, -76.6121900",LOC M1 .A15 v.111,44,"Grobe, Charles",German immigrant,Indian hunter,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",George Willig Jr.,,1850,Piano music,1,1
Ann Kate Gardner,Baltimore,"39.2903800, -76.6121900",LOC M1 .A15 v.111,45,"Grobe, Charles",German immigrant,Will you love me then as now!,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",George Willig Jr.,,1850,Piano music,1,1
Ann Kate Gardner,Baltimore,"39.2903800, -76.6121900",LOC M1 .A15 v.111,46,,,Yankee Doodle,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",F.D. Benteen,,1850,Piano music,0,0
Ann Kate Gardner,Baltimore,"39.2903800, -76.6121900",LOC M1 .A15 v.111,47,"Schroeder, R.",,Swiss boy,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",F.D. Benteen,,1850,Piano music,0,0
Ann Kate Gardner,Baltimore,"39.2903800, -76.6121900",LOC M1 .A15 v.111,48,,,Bounding billows,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Oliver Ditson,,1850,Piano music,0,0
Ann Kate Gardner,Baltimore,"39.2903800, -76.6121900",LOC M1 .A15 v.111,49,"Grobe, Charles",German immigrant,Wings of a dove,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",Lee & Walker,,1850,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.112,1,"King, William A.",English immigrant,Star spangled banner,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,1835,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.112,2,"Nebauer, Adolfe",,Swiss herdsman,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",A. Fiot,,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.112,3,"Strong, P.",,Zephyrine du Tyrol,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Oliver Ditson,,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.112,4,"Hünten, Franz",German,Twere vain to tell thee all I feel,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Oliver Ditson,,1840,Piano music,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.112,5,"Valentine, Thomas",,Believe me if all those endearing young charms,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.112,6,"Meineke, C. (Christopher)",German immigrant,Kinloch of Kinloch : a favourite Scotch air,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",John Cole,,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.112,7,"Wood, William, Jr.",,Bonny Doon,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.112,8,"Pixis, J. P. (Johann Peter)",German,Non piu andrai,,Buffalo,New York,United States,"42.8864500, -78.8783700",J.D. Sheppard,,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.112,9,"Mozart, Wolfgang Amadeus",Austrian,Sonata in B,,Braunschweig,,Germany,"52.2659400, 10.5267300",Meyer,,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.112,10,"Callcott, William H.",English,Beauties of Rossini's opera Semiramide,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Oliver Ditson,,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.112,11,"Balfe, M. W. (Michael William)",Irish,Gems from the Bohemian girl,Bohemian girl,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",E. Ferrett,1845,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.112,12,"Beck, S. R.",,Proudly and wide,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",Klemm & Brother,1845,1840,Piano music,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.112,13,"Verdi, Giuseppe",Italian,Ernani involami,Ernani,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",A. Fiot,,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.112,14,"Maretzek, Max",Czech,Pas de fleurs,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",S.W. Marsh,,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.112,15,"Siegling, Marie R.",American,Capricieuse,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",George Willig Jr.,1845,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,1,"Bellini, Vincenzo",Italian,"Take them, I implore thee",Norma,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",George Willig,1841,1840,Vocal duets with piano,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,2,"Bellini, Vincenzo",Italian,"See, oh! Norma",Norma,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",G.W. Hewitt,1841,1840,Vocal duets with piano,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,3,"Balfe, M. W. (Michael William)",Irish,Then you'll remember me,Bohemian girl,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Songs with piano,1,1
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,4,"Balfe, M. W. (Michael William)",Irish,Light of other days,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Songs with piano,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,5,"Balfe, M. W. (Michael William)",Irish,Heart bow'd down,Bohemian girl,New York,New York,United States,"40.7142700, -74.0059700","Firth, Hall & Pond",,1840,Songs with piano,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,6,"Balfe, M. W. (Michael William)",Irish,I dreamt that I dwelt in marble halls,Bohemian girl,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Songs with piano,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,7,"Balfe, M. W. (Michael William)",Irish,Churchyard wall,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Oliver Ditson,,1840,Songs with piano,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,8,"Brown, Francis H. (Francis Henry)",American,Lament of the Alpine shepherd boy,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,1844,1840,Songs with piano,1,1
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,9,"Clarke-Whitfeld, John",English,In peace love tunes the shepherd's reed,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Oliver Ditson,,1840,Songs with piano,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,10,,,Forget me not,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",F.D. Benteen,1846,1840,Songs with piano,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,11,"Glover, Stephen",English,Give me a cot in the valley I love : favorite ballad,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Oliver Ditson,,1840,Songs with piano,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,12,"Rasche, F.",,Love's melody,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",A. Fiot,1846,1840,Songs with piano,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,13,"Labitzky, Joseph",Czech,Elfin's home,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",Klemm & Brother,,1840,Songs with piano,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,14,"Bartlett, John C.",,House where I was born,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Oliver Ditson,,1840,Songs with piano,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,15,"Morse, N. C.",,Morning star,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Oliver Ditson,1846,1840,Songs with piano,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,16,"Huber, C.",,Seaman's feelings,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",A. Fiot,,1840,Songs with piano,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,17,"Heuberer, Charles F.",,Breathe no more the notes of sadness,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Keith's Publishing House,1845,1840,Songs with piano,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,18,"Paggi, Giovanni",Italian,I'm saddest when I sing,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",George P. Reed,1840,1840,Songs with piano,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,19,"Benedict, Jules",German,Ill gifted ring,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Songs with piano,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,20,"Weber, Carl Maria von",German,All is over,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",George P. Reed,,1840,Songs with piano,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,21,"Bricher, T. (Thomas)",,Old clock on the stairs,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",C. Bradlee,1846,1840,Songs with piano,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,22,"Saroni, Herrman S.",German immigrant,My cynosure,,New York,New York,United States,"40.7142700, -74.0059700",John F. Nunns,1845,1840,Songs with piano,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,23,"Andrews, John C.",English immigrant,Hundred years ago,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Oliver Ditson,1846,1840,Songs with piano,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,24,"Glover, Stephen",English,Dream is past,,New York,New York,United States,"40.7142700, -74.0059700","Firth, Hall & Pond",,1840,Songs with piano,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,25,"Horn, Charles Edward",English,My bark is out upon the sea,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",William H. Oakes,1840,1840,Songs with piano,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,26,"Marliani, Marco Aurelio",Italian,Moon in all her beauty,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Oliver Ditson,,1840,Songs with piano,1,1
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,27,"Bishop, Henry R. (Henry Rowley)",English,Follow follow thro' the sea : the mermaid song,,New York,New York,United States,"40.7142700, -74.0059700",Dubois & Stodart,,1840,Songs with piano,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.113,28,"Rossini, Gioacchino",Italian,"Ah, that day I well remember!",Semiramide,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",A. Fiot,,1840,Songs with piano,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,1,"Unger, Ferdinand C.",German immigrant,"Elssler quadrilles, sett 1",,New York,New York,United States,"40.7142700, -74.0059700",Ferdinand C. Unger,1840,1840,Piano music,1,1
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,2,"Unger, Ferdinand C.",German immigrant,"Elssler quadrilles, sett 2",,New York,New York,United States,"40.7142700, -74.0059700",Ferdinand C. Unger,1840,1840,Piano music,1,1
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,3,,,Cachucha,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,1,1
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,4,"Bochsa, Robert Nicolas Charles",French,Cracovienne,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,1,1
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,5,,,New Spanish dance,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,6,"Hews, George",American,Brattleboro waltz,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,7,"Mozart, Wolfgang Amadeus",Austrian,Favorite waltz,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,8,"Strauss, Johann, II",Austrian,Devonshire waltz,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,9,"Beethoven, Ludwig van",German,Three celebrated waltzes,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Parker & Ditson,,1840,Piano music (4 hands),1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,10,"Weber, Carl Maria von",German,Von Weber's last waltz,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",,1840,Piano music (4 hands),1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,11,,,Cinderella waltz,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",George Willig,,1840,Piano music (4 hands),1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,12,,,Sontag's waltz,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",George Willig,,1840,Piano music (4 hands),1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,13,"Latour, T.",French,Much admired duet,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music (4 hands),1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,14,,,Swiss boy variations,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music (4 hands),1,1
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,15,,,Russian march,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",George Willig,,1840,Piano music (4 hands),1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,16,,,London march,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",George Willig,,1840,Piano music (4 hands),1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,17,,,London march,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,18,"Weber, Carl Maria von",German,March in the melo drama Der Freischutz,Freischutz,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,19,"Hünten, Franz",German,Petit tambour,,New York,New York,United States,"40.7142700, -74.0059700",Dubois & Stodart,,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,20,"Kiallmark, George",English,My heart and lute,,New York,New York,United States,"40.7142700, -74.0059700",Dubois & Stodart,,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,21,"Pleyel, Camille",French,Di tanti palpiti,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,22,"Bellini, Vincenzo",Italian,Do I not prove thee from Bellini's opera Norma,Norma,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",Meignen & Co.,,1840,Piano music,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,23,"Viguerie, Bernard",French,Battle of Maringo : an historical and military piece for the piano forte with an accompaniment for a violin,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,1,1
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,24,"Anderson, G.",,Battle of Waterloo,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,25,,,Hob nob ; Morning star,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,26,,,Money musk ; Scoth reel,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,27,,,Irish washerwoman ; Kinloch of Kinloch,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1840,Piano music,0,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,28,"Carusi, Nathaniel",Italian immigrant,Zip Coon,,Washington,District of Columbia,United States,"38.8951100, -77.0363700",Carusi,1837,1840,Piano music,1,0
Mary Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.114,29,,,Mrs. Macdonald ; Malbrook,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",George Willig Jr.,,1840,Piano music,0,0
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,1,"Cramer, J. B.",English,Instructions for the piano forte,,New York,New York,United States,"40.7142700, -74.0059700",William Dubois,,1830,Lesson books,1,0
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,2,"Herz, Henri",Austrian,Herz's celebrated exercises,,Buffalo,New York,United States,"42.8864500, -78.8783700",Sheppard,,1830,Lesson books,1,0
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,3,,,Glen Cairn,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,1835,1830,Piano music,0,0
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,4,,,Bonaparte's march crossing the Rhine,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,5,,,Come haste to the wedding,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,6,,,Cheat ; Soldier's toy,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,7,,,Auld Lang Syne,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Songs with piano,0,0
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,8,,,Absence,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Songs with piano,0,0
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,9,W. C. P.,,Louisville march and quick step,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",Klemm & Brother,,1830,Piano music,0,0
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,10,"Millard, Philip, Mrs.",English,Alice Gray,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Songs with piano,0,0
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,11,"Thompson, C.",,Spring time of year is coming,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",Klemm & Brother,,1830,Songs with piano,0,0
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,12,"Hewitt, John Hill",American,Hark! Hark! The soft bugle,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",George Willig Jr.,,1830,Songs with piano,1,1
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,13,"Williams, Thomas",Welsh,Soldier's grave : monody on the death of Sir John Moore,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Songs with piano,0,0
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,14,"Millard, Philip, Mrs.",English,O saw ye the lass wi' the bonny blue e'en : Scotch ballad,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",George Willig,,1830,Songs with piano,0,0
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,15,"Sinclair, John",Scottish,Ship ahoy,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Songs with piano,0,0
Abigail Fillmore,Buffalo,"42.8864500, -78.8783700",LOC M1 .A15 v.115,16,"Drake, James G.",,Pensez à moi,,New York,New York,United States,"40.7142700, -74.0059700",Thomas Birch,,1830,Songs with piano,0,0
Jennie F. Wilson,Brooklyn,"40.650002, -73.949997",LOC M1 .A15 v.116,1,"Glover, Stephen",English,Little red riding hood,,,,United States,,,,1840,Songs with piano,0,0
Jennie F. Wilson,Brooklyn,"40.650002, -73.949997",LOC M1 .A15 v.116,2,"Dempster, William R. (William Richardson)",Scottish,"May queen, part first",,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Oliver Ditson,,1840,Songs with piano,1,0
Jennie F. Wilson,Brooklyn,"40.650002, -73.949997",LOC M1 .A15 v.116,3,Publishers,,Allan Percy,,Louisville,Kentucky,United States,"38.2542400, -85.7594100","Peters, Webb & Co.",,1840,Songs with piano,1,0
Jennie F. Wilson,Brooklyn,"40.650002, -73.949997",LOC M1 .A15 v.116,4,"Johnson, Daniel",,Carrier dove,,New York,New York,United States,"40.7142700, -74.0059700",Jollie,1842,1840,Songs with piano,1,0
Jennie F. Wilson,Brooklyn,"40.650002, -73.949997",LOC M1 .A15 v.116,5,"Williams, Thomas",Welsh,Bride's farewell,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",E. Ferrett,,1840,Songs with piano,0,0
Jennie F. Wilson,Brooklyn,"40.650002, -73.949997",LOC M1 .A15 v.116,6,"Lobe, Carl",,We'll meet again in other days,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",E. Ferrett,1847,1840,Songs with piano,0,0
Jennie F. Wilson,Brooklyn,"40.650002, -73.949997",LOC M1 .A15 v.116,7,"Cianchettini, P. (Pio)",English,I love but thee,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",A. Fiot,,1840,Songs with piano,0,0
Jennie F. Wilson,Brooklyn,"40.650002, -73.949997",LOC M1 .A15 v.116,8,"Mozart, Wolfgang Amadeus",Austrian,"Go forget me, why should sorrow?",Don Giovanni,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",A. Fiot,,1840,Songs with piano,0,0
Jennie F. Wilson,Brooklyn,"40.650002, -73.949997",LOC M1 .A15 v.116,9,,,Oh! No they shall not see me weep,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",F.D. Benteen,,1840,Songs with piano,0,0
Jennie F. Wilson,Brooklyn,"40.650002, -73.949997",LOC M1 .A15 v.116,10,"Herz, Henri",Austrian,We have lived and loved together,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,1839,1840,Songs with piano,0,0
Jennie F. Wilson,Brooklyn,"40.650002, -73.949997",LOC M1 .A15 v.116,11,,,Dream is past,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",E. Ferrett,,1840,Songs with piano,0,0
Jennie F. Wilson,Brooklyn,"40.650002, -73.949997",LOC M1 .A15 v.116,12,"Dempster, William R. (William Richardson)",Scottish,Blind boy,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Oliver Ditson,1842,1840,Songs with piano,1,1
Jennie F. Wilson,Brooklyn,"40.650002, -73.949997",LOC M1 .A15 v.116,13,,,Exile of Erin : Erin Go Braugh,,New York,New York,United States,"40.7142700, -74.0059700",E. Riley,1839,1840,Songs with piano,0,0
